,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
646,1048980,2023-11-25 14:30:00,Germany,78,Bundesliga,https://media-4.api-sports.io/football/leagues/78.png,Borussia Dortmund,https://media-4.api-sports.io/football/teams/165.png,4.0,Borussia Monchengladbach,https://media-4.api-sports.io/football/teams/163.png,2.0,Match Finished,90.0
647,1048981,2023-11-25 14:30:00,Germany,78,Bundesliga,https://media-4.api-sports.io/football/leagues/78.png,Union Berlin,https://media-4.api-sports.io/football/teams/182.png,1.0,FC Augsburg,https://media-4.api-sports.io/football/teams/170.png,1.0,Match Finished,90.0
648,1048982,2023-11-25 14:30:00,Germany,78,Bundesliga,https://media-4.api-sports.io/football/leagues/78.png,SC Freiburg,https://media-4.api-sports.io/football/teams/160.png,1.0,SV Darmstadt 98,https://media-4.api-sports.io/football/teams/181.png,1.0,Match Finished,90.0
1191,1048983,2023-11-25 17:30:00,Germany,78,Bundesliga,https://media-4.api-sports.io/football/leagues/78.png,Eintracht Frankfurt,https://media-4.api-sports.io/football/teams/169.png,1.0,VfB Stuttgart,https://media-4.api-sports.io/football/teams/172.png,2.0,Match Finished,90.0
649,1048984,2023-11-25 14:30:00,Germany,78,Bundesliga,https://media-4.api-sports.io/football/leagues/78.png,VfL Wolfsburg,https://media-4.api-sports.io/football/teams/161.png,2.0,RB Leipzig,https://media-4.api-sports.io/football/teams/173.png,1.0,Match Finished,90.0
650,1048987,2023-11-25 14:30:00,Germany,78,Bundesliga,https://media-4.api-sports.io/football/leagues/78.png,Werder Bremen,https://media-4.api-sports.io/football/teams/162.png,0.0,Bayer Leverkusen,https://media-4.api-sports.io/football/teams/168.png,3.0,Match Finished,90.0
