,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
936,1110798,2023-11-25 15:00:00,Spain,446,Tercera División RFEF - Group 8,https://media-4.api-sports.io/football/leagues/446.png,Cultural Leonesa II,https://media-4.api-sports.io/football/teams/9729.png,0.0,Cristo Atlético,https://media-4.api-sports.io/football/teams/9728.png,0.0,Not Started,0.0
937,1110802,2023-11-25 15:00:00,Spain,446,Tercera División RFEF - Group 8,https://media-4.api-sports.io/football/leagues/446.png,Atlético Astorga,https://media-4.api-sports.io/football/teams/9723.png,0.0,Real Ávila,https://media-4.api-sports.io/football/teams/9736.png,0.0,Not Started,0.0
938,1110803,2023-11-25 15:00:00,Spain,446,Tercera División RFEF - Group 8,https://media-4.api-sports.io/football/leagues/446.png,Colegios Diocesanos,https://media-4.api-sports.io/football/teams/15354.png,0.0,Bembibre,https://media-4.api-sports.io/football/teams/9725.png,0.0,Not Started,0.0
676,1110804,2023-11-25 14:45:00,Spain,446,Tercera División RFEF - Group 8,https://media-4.api-sports.io/football/leagues/446.png,Ponferradina II,https://media-4.api-sports.io/football/teams/20271.png,0.0,Laguna de Duero,https://media-4.api-sports.io/football/teams/22143.png,0.0,Not Started,0.0
992,1110805,2023-11-25 15:15:00,Spain,446,Tercera División RFEF - Group 8,https://media-4.api-sports.io/football/leagues/446.png,UD Santa Marta,https://media-4.api-sports.io/football/teams/9738.png,0.0,Becerril Campos,https://media-4.api-sports.io/football/teams/8153.png,0.0,Not Started,0.0
677,1110806,2023-11-25 14:45:00,Spain,446,Tercera División RFEF - Group 8,https://media-4.api-sports.io/football/leagues/446.png,La Virgen del Camino,https://media-4.api-sports.io/football/teams/9732.png,0.0,Mirandés II,https://media-4.api-sports.io/football/teams/9733.png,0.0,Not Started,0.0
