,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
245,1118485,2023-11-25 12:00:00,Romania,786,Liga III - Serie 3,https://media-4.api-sports.io/football/leagues/786.png,Agricola Borcea,https://media-4.api-sports.io/football/teams/6841.png,0.0,Înainte Modelu,https://media-4.api-sports.io/football/teams/6932.png,0.0,Not Started,0.0
246,1118486,2023-11-25 12:00:00,Romania,786,Liga III - Serie 3,https://media-4.api-sports.io/football/leagues/786.png,Axiopolis,https://media-4.api-sports.io/football/teams/6847.png,0.0,Dunarea Calarasi,https://media-4.api-sports.io/football/teams/2582.png,0.0,Not Started,0.0
247,1118487,2023-11-25 12:00:00,Romania,786,Liga III - Serie 3,https://media-4.api-sports.io/football/leagues/786.png,CS Afumati,https://media-4.api-sports.io/football/teams/2608.png,0.0,Recolta Gheorghe Doja,https://media-4.api-sports.io/football/teams/14592.png,0.0,Not Started,0.0
248,1118488,2023-11-25 12:00:00,Romania,786,Liga III - Serie 3,https://media-4.api-sports.io/football/leagues/786.png,Voluntari II,https://media-4.api-sports.io/football/teams/16289.png,0.0,Gloria Albeşti,https://media-4.api-sports.io/football/teams/16283.png,0.0,Not Started,0.0
268,1119222,2023-11-25 12:00:00,Romania,786,Liga III - Serie 3,https://media-4.api-sports.io/football/leagues/786.png,Progresul Fundulea,https://media-4.api-sports.io/football/teams/19180.png,0.0,Gloria Băneasa,https://media-4.api-sports.io/football/teams/21430.png,0.0,Not Started,0.0
