,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
1012,1113218,2023-11-25 15:30:00,Spain,456,Tercera División RFEF - Group 18,https://media-4.api-sports.io/football/leagues/456.png,Tarancón,https://media-4.api-sports.io/football/teams/9907.png,0.0,Cazalegas,https://media-4.api-sports.io/football/teams/20443.png,0.0,Not Started,0.0
1086,1113219,2023-11-25 16:30:00,Spain,456,Tercera División RFEF - Group 18,https://media-4.api-sports.io/football/leagues/456.png,Quintanar del Rey,https://media-4.api-sports.io/football/teams/9906.png,0.0,Villarrubia,https://media-4.api-sports.io/football/teams/9417.png,0.0,Not Started,0.0
1087,1113220,2023-11-25 16:30:00,Spain,456,Tercera División RFEF - Group 18,https://media-4.api-sports.io/football/leagues/456.png,Azuqueca,https://media-4.api-sports.io/football/teams/9898.png,0.0,Villarrobledo,https://media-4.api-sports.io/football/teams/9602.png,0.0,Not Started,0.0
