,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
613,1136806,2023-11-25 14:00:00,Algeria,186,Ligue 1,https://media-4.api-sports.io/football/leagues/186.png,Khenchela,https://media-4.api-sports.io/football/teams/10752.png,0.0,Ben Aknoun,https://media-4.api-sports.io/football/teams/10792.png,0.0,Match Finished,90.0
614,1136809,2023-11-25 14:00:00,Algeria,186,Ligue 1,https://media-4.api-sports.io/football/leagues/186.png,US Souf,https://media-4.api-sports.io/football/teams/19994.png,3.0,MC Alger,https://media-4.api-sports.io/football/teams/906.png,4.0,Match Finished,90.0
1092,1136810,2023-11-25 16:45:00,Algeria,186,Ligue 1,https://media-4.api-sports.io/football/leagues/186.png,JS Saoura,https://media-4.api-sports.io/football/teams/914.png,3.0,ASO Chlef,https://media-4.api-sports.io/football/teams/931.png,2.0,Match Finished,90.0
1019,1136812,2023-11-25 15:45:00,Algeria,186,Ligue 1,https://media-4.api-sports.io/football/leagues/186.png,JS Kabylie,https://media-4.api-sports.io/football/teams/918.png,1.0,US Biskra,https://media-4.api-sports.io/football/teams/909.png,1.0,Match Finished,90.0
