,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
509,1082677,2023-11-25 13:30:00,Netherlands,492,Tweede Divisie,https://media-4.api-sports.io/football/leagues/492.png,SVV Scheveningen,https://media-4.api-sports.io/football/teams/1250.png,2.0,FC Lisse,https://media-4.api-sports.io/football/teams/1257.png,2.0,Match Finished,90.0
510,1082678,2023-11-25 13:30:00,Netherlands,492,Tweede Divisie,https://media-4.api-sports.io/football/leagues/492.png,GVVV Veenendaal,https://media-4.api-sports.io/football/teams/1261.png,2.0,Kozakken Boys,https://media-4.api-sports.io/football/teams/1242.png,1.0,Match Finished,90.0
591,1082679,2023-11-25 14:00:00,Netherlands,492,Tweede Divisie,https://media-4.api-sports.io/football/leagues/492.png,AFC Amsterdam,https://media-4.api-sports.io/football/teams/1252.png,2.0,Excelsior Maassluis,https://media-4.api-sports.io/football/teams/17129.png,2.0,Match Finished,90.0
592,1082680,2023-11-25 14:00:00,Netherlands,492,Tweede Divisie,https://media-4.api-sports.io/football/leagues/492.png,Rijnsburgse Boys,https://media-4.api-sports.io/football/teams/1248.png,2.0,HHC,https://media-4.api-sports.io/football/teams/1278.png,1.0,Match Finished,90.0
593,1082681,2023-11-25 14:00:00,Netherlands,492,Tweede Divisie,https://media-4.api-sports.io/football/leagues/492.png,ADO '20,https://media-4.api-sports.io/football/teams/3886.png,1.0,Noordwijk,https://media-4.api-sports.io/football/teams/1247.png,1.0,Match Finished,90.0
594,1082682,2023-11-25 14:00:00,Netherlands,492,Tweede Divisie,https://media-4.api-sports.io/football/leagues/492.png,Quick Boys,https://media-4.api-sports.io/football/teams/1272.png,1.0,Spakenburg,https://media-4.api-sports.io/football/teams/1249.png,1.0,Match Finished,90.0
651,1082683,2023-11-25 14:30:00,Netherlands,492,Tweede Divisie,https://media-4.api-sports.io/football/leagues/492.png,Koninklijke HFC,https://media-4.api-sports.io/football/teams/1246.png,2.0,ACV,https://media-4.api-sports.io/football/teams/3911.png,4.0,Match Finished,90.0
652,1082684,2023-11-25 14:30:00,Netherlands,492,Tweede Divisie,https://media-4.api-sports.io/football/leagues/492.png,Sparta Rotterdam II,https://media-4.api-sports.io/football/teams/10320.png,0.0,Katwijk,https://media-4.api-sports.io/football/teams/1237.png,2.0,Match Finished,90.0
1102,1082685,2023-11-25 17:00:00,Netherlands,492,Tweede Divisie,https://media-4.api-sports.io/football/leagues/492.png,De Treffers,https://media-4.api-sports.io/football/teams/1277.png,0.0,Almere City II,https://media-4.api-sports.io/football/teams/9130.png,2.0,Match Finished,90.0
