,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
86,1083219,2023-11-25 10:30:00,Thailand,297,Thai League 2,https://media-4.api-sports.io/football/leagues/297.png,Kasetsart FC,https://media-4.api-sports.io/football/teams/2800.png,0.0,Krabi FC,https://media-4.api-sports.io/football/teams/2802.png,1.0,Match Finished,90.0
115,1083220,2023-11-25 11:00:00,Thailand,297,Thai League 2,https://media-4.api-sports.io/football/leagues/297.png,Nong Bua Pitchaya,https://media-4.api-sports.io/football/teams/2796.png,5.0,Pattaya United,https://media-4.api-sports.io/football/teams/2782.png,1.0,Match Finished,90.0
195,1083222,2023-11-25 12:00:00,Thailand,297,Thai League 2,https://media-4.api-sports.io/football/leagues/297.png,Chanthaburi,https://media-4.api-sports.io/football/teams/6557.png,1.0,Rayong FC,https://media-4.api-sports.io/football/teams/2797.png,1.0,Match Finished,90.0
145,1083369,2023-11-25 11:30:00,Thailand,297,Thai League 2,https://media-4.api-sports.io/football/leagues/297.png,Esan Pattaya,https://media-4.api-sports.io/football/teams/13309.png,2.0,Suphanburi,https://media-4.api-sports.io/football/teams/2785.png,0.0,Match Finished,90.0
