,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
505,1056293,2023-11-25 13:30:00,Switzerland,510,1. Liga Promotion,https://media-4.api-sports.io/football/leagues/510.png,Young Boys II,https://media-4.api-sports.io/football/teams/12698.png,3.0,Brühl,https://media-4.api-sports.io/football/teams/10587.png,0.0,Match Finished,90.0
581,1056294,2023-11-25 14:00:00,Switzerland,510,1. Liga Promotion,https://media-4.api-sports.io/football/leagues/510.png,Bulle,https://media-4.api-sports.io/football/teams/6618.png,3.0,Cham,https://media-4.api-sports.io/football/teams/6621.png,2.0,Match Finished,90.0
582,1056295,2023-11-25 14:00:00,Switzerland,510,1. Liga Promotion,https://media-4.api-sports.io/football/leagues/510.png,Breitenrain,https://media-4.api-sports.io/football/teams/10586.png,2.0,Basel II,https://media-4.api-sports.io/football/teams/10585.png,2.0,Match Finished,90.0
1078,1056296,2023-11-25 16:30:00,Switzerland,510,1. Liga Promotion,https://media-4.api-sports.io/football/leagues/510.png,SC Kriens,https://media-4.api-sports.io/football/teams/2186.png,2.0,Bavois,https://media-4.api-sports.io/football/teams/6615.png,1.0,Match Finished,90.0
750,1056298,2023-11-25 15:00:00,Switzerland,510,1. Liga Promotion,https://media-4.api-sports.io/football/leagues/510.png,St. Gallen II,https://media-4.api-sports.io/football/teams/12718.png,0.0,Delémont,https://media-4.api-sports.io/football/teams/12702.png,2.0,Match Finished,90.0
751,1056300,2023-11-25 15:00:00,Switzerland,510,1. Liga Promotion,https://media-4.api-sports.io/football/leagues/510.png,Rapperswil,https://media-4.api-sports.io/football/teams/2185.png,2.0,Servette II,https://media-4.api-sports.io/football/teams/16323.png,1.0,Match Finished,90.0
583,1057704,2023-11-25 14:00:00,Switzerland,510,1. Liga Promotion,https://media-4.api-sports.io/football/leagues/510.png,Paradiso,https://media-4.api-sports.io/football/teams/12717.png,1.0,Étoile Carouge,https://media-4.api-sports.io/football/teams/6654.png,0.0,Match Finished,90.0
