,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
281,1042134,2023-11-25 12:15:00,Russia,235,Premier League,https://media-4.api-sports.io/football/leagues/235.png,Zenit Saint Petersburg,https://media-4.api-sports.io/football/teams/596.png,3.0,PFC Sochi,https://media-4.api-sports.io/football/teams/2012.png,0.0,Match Finished,90.0
47,1042136,2023-11-25 10:00:00,Russia,235,Premier League,https://media-4.api-sports.io/football/leagues/235.png,Krylya Sovetov,https://media-4.api-sports.io/football/teams/1079.png,3.0,Lokomotiv Moscow,https://media-4.api-sports.io/football/teams/597.png,3.0,Match Finished,90.0
642,1042137,2023-11-25 14:30:00,Russia,235,Premier League,https://media-4.api-sports.io/football/leagues/235.png,CSKA Moscow,https://media-4.api-sports.io/football/teams/555.png,2.0,Dinamo Moscow,https://media-4.api-sports.io/football/teams/1088.png,3.0,Match Finished,90.0
1091,1042139,2023-11-25 16:45:00,Russia,235,Premier League,https://media-4.api-sports.io/football/leagues/235.png,Baltika,https://media-4.api-sports.io/football/teams/2006.png,0.0,Spartak Moscow,https://media-4.api-sports.io/football/teams/558.png,2.0,Match Finished,90.0
