,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
350,1131221,2023-11-25 12:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,AlbinoLeffe U19,https://media-4.api-sports.io/football/teams/19852.png,0.0,Como U19,https://media-4.api-sports.io/football/teams/17728.png,0.0,Not Started,0.0
539,1131222,2023-11-25 13:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Alessandria U19,https://media-4.api-sports.io/football/teams/17726.png,0.0,SPAL U19,https://media-4.api-sports.io/football/teams/15678.png,0.0,Not Started,0.0
540,1131223,2023-11-25 13:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Brescia U19,https://media-4.api-sports.io/football/teams/15657.png,0.0,Cittadella U19,https://media-4.api-sports.io/football/teams/15660.png,0.0,Not Started,0.0
541,1131224,2023-11-25 13:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,FeralpiSalò U19,https://media-4.api-sports.io/football/teams/19853.png,0.0,Padova U19,https://media-4.api-sports.io/football/teams/19856.png,0.0,Not Started,0.0
542,1131225,2023-11-25 13:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Vicenza U19,https://media-4.api-sports.io/football/teams/15687.png,0.0,Renate U19,https://media-4.api-sports.io/football/teams/22405.png,0.0,Not Started,0.0
543,1131226,2023-11-25 13:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Parma U19,https://media-4.api-sports.io/football/teams/15672.png,0.0,Sudtirol U19,https://media-4.api-sports.io/football/teams/22406.png,0.0,Not Started,0.0
544,1131227,2023-11-25 13:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Udinese U19,https://media-4.api-sports.io/football/teams/15684.png,0.0,Cremonese U19,https://media-4.api-sports.io/football/teams/15662.png,0.0,Not Started,0.0
545,1131228,2023-11-25 13:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Venezia U19,https://media-4.api-sports.io/football/teams/15685.png,0.0,Reggiana U19,https://media-4.api-sports.io/football/teams/15676.png,0.0,Not Started,0.0
66,1131458,2023-11-25 10:00:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Ascoli U19,https://media-4.api-sports.io/football/teams/15654.png,0.0,Crotone U19,https://media-4.api-sports.io/football/teams/15663.png,0.0,Not Started,0.0
81,1131459,2023-11-25 10:15:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Cesena U19,https://media-4.api-sports.io/football/teams/17727.png,0.0,Salernitana U19,https://media-4.api-sports.io/football/teams/15679.png,0.0,Not Started,0.0
546,1131462,2023-11-25 13:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Napoli U19,https://media-4.api-sports.io/football/teams/7917.png,0.0,Benevento U19,https://media-4.api-sports.io/football/teams/15655.png,0.0,Not Started,0.0
547,1131463,2023-11-25 13:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Palermo U19,https://media-4.api-sports.io/football/teams/22404.png,0.0,Pescara U19,https://media-4.api-sports.io/football/teams/15673.png,0.0,Not Started,0.0
87,1131464,2023-11-25 10:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Virtus Entella U19,https://media-4.api-sports.io/football/teams/15688.png,0.0,Bari U19,https://media-4.api-sports.io/football/teams/22403.png,0.0,Not Started,0.0
548,1131716,2023-11-25 13:30:00,Italy,706,Campionato Primavera - 2,https://media-4.api-sports.io/football/leagues/706.png,Ternana U19,https://media-4.api-sports.io/football/teams/17730.png,0.0,Perugia U19,https://media-4.api-sports.io/football/teams/17729.png,0.0,Not Started,0.0
