,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
147,1111104,2023-11-25 11:30:00,Spain,447,Tercera División RFEF - Group 9,https://media-4.api-sports.io/football/leagues/447.png,Atlético Melilla,https://media-4.api-sports.io/football/teams/22145.png,0.0,Málaga II,https://media-4.api-sports.io/football/teams/9752.png,0.0,Not Started,0.0
1199,1111106,2023-11-25 17:30:00,Spain,447,Tercera División RFEF - Group 9,https://media-4.api-sports.io/football/leagues/447.png,Torre del Mar,https://media-4.api-sports.io/football/teams/17558.png,0.0,Real Jaén,https://media-4.api-sports.io/football/teams/5274.png,0.0,Not Started,0.0
1055,1111110,2023-11-25 16:00:00,Spain,447,Tercera División RFEF - Group 9,https://media-4.api-sports.io/football/leagues/447.png,Juventud Torremolinos,https://media-4.api-sports.io/football/teams/15359.png,0.0,Huétor Tájar,https://media-4.api-sports.io/football/teams/9746.png,0.0,Not Started,0.0
