,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
203,1093566,2023-11-25 12:00:00,Germany,749,Oberliga - Bremen,https://media-4.api-sports.io/football/leagues/749.png,OSC Bremerhaven,https://media-4.api-sports.io/football/teams/16094.png,3.0,Geestemünde,https://media-4.api-sports.io/football/teams/12769.png,2.0,Match Finished,90.0
451,1093568,2023-11-25 13:00:00,Germany,749,Oberliga - Bremen,https://media-4.api-sports.io/football/leagues/749.png,Woltmershausen,https://media-4.api-sports.io/football/teams/19756.png,1.0,Vatan Sport,https://media-4.api-sports.io/football/teams/16096.png,2.0,Match Finished,90.0
452,1093569,2023-11-25 13:00:00,Germany,749,Oberliga - Bremen,https://media-4.api-sports.io/football/leagues/749.png,TuRa Bremen,https://media-4.api-sports.io/football/teams/21978.png,2.0,Hemelingen,https://media-4.api-sports.io/football/teams/12783.png,9.0,Match Finished,90.0
