,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
216,1096160,2023-11-25 12:00:00,Italy,705,Campionato Primavera - 1,https://media-4.api-sports.io/football/leagues/705.png,Atalanta U19,https://media-4.api-sports.io/football/teams/7883.png,1.0,Internazionale U19,https://media-4.api-sports.io/football/teams/7903.png,1.0,Match Finished,90.0
217,1096162,2023-11-25 12:00:00,Italy,705,Campionato Primavera - 1,https://media-4.api-sports.io/football/leagues/705.png,Frosinone U19,https://media-4.api-sports.io/football/teams/15666.png,1.0,Lazio U19,https://media-4.api-sports.io/football/teams/15668.png,1.0,Match Finished,90.0
525,1096163,2023-11-25 13:30:00,Italy,705,Campionato Primavera - 1,https://media-4.api-sports.io/football/leagues/705.png,Lecce U19,https://media-4.api-sports.io/football/teams/15669.png,3.0,Bologna U19,https://media-4.api-sports.io/football/teams/15656.png,2.0,Match Finished,90.0
62,1096164,2023-11-25 10:00:00,Italy,705,Campionato Primavera - 1,https://media-4.api-sports.io/football/leagues/705.png,Milan U19,https://media-4.api-sports.io/football/teams/15670.png,2.0,Cagliari U19,https://media-4.api-sports.io/football/teams/15658.png,4.0,Match Finished,90.0
