,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
83,1074721,2023-11-25 10:30:00,Turkey,203,Süper Lig,https://media-4.api-sports.io/football/leagues/203.png,İstanbulspor,https://media-4.api-sports.io/football/teams/3578.png,2.0,Hatayspor,https://media-4.api-sports.io/football/teams/3575.png,1.0,Match Finished,90.0
1030,1074722,2023-11-25 16:00:00,Turkey,203,Süper Lig,https://media-4.api-sports.io/football/leagues/203.png,Galatasaray,https://media-4.api-sports.io/football/teams/645.png,4.0,Alanyaspor,https://media-4.api-sports.io/football/teams/996.png,0.0,Match Finished,90.0
396,1074724,2023-11-25 13:00:00,Turkey,203,Süper Lig,https://media-4.api-sports.io/football/leagues/203.png,Gazişehir Gaziantep,https://media-4.api-sports.io/football/teams/3573.png,0.0,Ankaragucu,https://media-4.api-sports.io/football/teams/1010.png,1.0,Match Finished,90.0
397,1074729,2023-11-25 13:00:00,Turkey,203,Süper Lig,https://media-4.api-sports.io/football/leagues/203.png,Konyaspor,https://media-4.api-sports.io/football/teams/607.png,2.0,Kasimpasa,https://media-4.api-sports.io/football/teams/1004.png,0.0,Match Finished,90.0
