,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
1189,1045363,2023-11-25 17:30:00,Spain,141,Segunda División,https://media-4.api-sports.io/football/leagues/141.png,Albacete,https://media-4.api-sports.io/football/teams/722.png,1.0,Zaragoza,https://media-4.api-sports.io/football/teams/732.png,0.0,Match Finished,90.0
14196,1045364,2023-11-25 20:00:00,Spain,141,Segunda División,https://media-4.api-sports.io/football/leagues/141.png,Eibar,https://media-4.api-sports.io/football/teams/545.png,2.0,Levante,https://media-4.api-sports.io/football/teams/539.png,1.0,Second Half,61.0
988,1045367,2023-11-25 15:15:00,Spain,141,Segunda División,https://media-4.api-sports.io/football/leagues/141.png,Racing Santander,https://media-4.api-sports.io/football/teams/4665.png,2.0,Villarreal II,https://media-4.api-sports.io/football/teams/9595.png,0.0,Match Finished,90.0
989,1045370,2023-11-25 15:15:00,Spain,141,Segunda División,https://media-4.api-sports.io/football/leagues/141.png,Burgos,https://media-4.api-sports.io/football/teams/9580.png,0.0,FC Andorra,https://media-4.api-sports.io/football/teams/8157.png,0.0,Match Finished,90.0
