,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
1331,1132225,2023-11-25 19:50:00,Mauritania,762,Premier League,https://media-4.api-sports.io/football/leagues/762.png,Ksar,https://media-4.api-sports.io/football/teams/16170.png,0.0,Inter Nouakchott,https://media-4.api-sports.io/football/teams/16167.png,0.0,Not Started,0.0
1073,1132226,2023-11-25 16:15:00,Mauritania,762,Premier League,https://media-4.api-sports.io/football/leagues/762.png,Kaédi,https://media-4.api-sports.io/football/teams/16169.png,0.0,AS Entou,https://media-4.api-sports.io/football/teams/21986.png,0.0,Not Started,0.0
1177,1132227,2023-11-25 17:00:00,Mauritania,762,Premier League,https://media-4.api-sports.io/football/leagues/762.png,Pompiers,https://media-4.api-sports.io/football/teams/21987.png,0.0,Gendrim,https://media-4.api-sports.io/football/teams/20470.png,0.0,Not Started,0.0
