,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
296,1089420,2023-11-25 12:30:00,Germany,754,Oberliga - Nordost-Nord,https://media-4.api-sports.io/football/leagues/754.png,Rostocker FC,https://media-4.api-sports.io/football/teams/14762.png,1.0,CFC Hertha,https://media-4.api-sports.io/football/teams/16117.png,0.0,Match Finished,90.0
297,1089421,2023-11-25 12:30:00,Germany,754,Oberliga - Nordost-Nord,https://media-4.api-sports.io/football/leagues/754.png,RSV Eintracht,https://media-4.api-sports.io/football/teams/14754.png,0.0,Tennis Borussia,https://media-4.api-sports.io/football/teams/12876.png,2.0,Match Finished,90.0
198,1089423,2023-11-25 12:00:00,Germany,754,Oberliga - Nordost-Nord,https://media-4.api-sports.io/football/leagues/754.png,Lichtenberg,https://media-4.api-sports.io/football/teams/9354.png,4.0,Staaken,https://media-4.api-sports.io/football/teams/16120.png,0.0,Match Finished,90.0
298,1089425,2023-11-25 12:30:00,Germany,754,Oberliga - Nordost-Nord,https://media-4.api-sports.io/football/leagues/754.png,Optik Rathenow,https://media-4.api-sports.io/football/teams/9356.png,1.0,Makkabi,https://media-4.api-sports.io/football/teams/14722.png,4.0,Match Finished,90.0
299,1089426,2023-11-25 12:30:00,Germany,754,Oberliga - Nordost-Nord,https://media-4.api-sports.io/football/leagues/754.png,Dynamo Schwerin,https://media-4.api-sports.io/football/teams/18384.png,2.0,Hertha Zehlendorf,https://media-4.api-sports.io/football/teams/12786.png,4.0,Match Finished,90.0
