,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
606,1101901,2023-11-25 14:00:00,France,467,National 3 - Group H,https://media-4.api-sports.io/football/leagues/467.png,Montrouge,https://media-4.api-sports.io/football/teams/19921.png,0.0,St Maur Lusitanos,https://media-4.api-sports.io/football/teams/3115.png,0.0,Not Started,0.0
1156,1101902,2023-11-25 17:00:00,France,467,National 3 - Group H,https://media-4.api-sports.io/football/leagues/467.png,Linas-Montlhery,https://media-4.api-sports.io/football/teams/9288.png,0.0,Ivry,https://media-4.api-sports.io/football/teams/9963.png,0.0,Not Started,0.0
529,1101903,2023-11-25 13:30:00,France,467,National 3 - Group H,https://media-4.api-sports.io/football/leagues/467.png,Neuilly sur Marne,https://media-4.api-sports.io/football/teams/22038.png,0.0,Sainte Geneviève,https://media-4.api-sports.io/football/teams/3110.png,0.0,Not Started,0.0
1157,1101904,2023-11-25 17:00:00,France,467,National 3 - Group H,https://media-4.api-sports.io/football/leagues/467.png,Orléans II,https://media-4.api-sports.io/football/teams/9925.png,0.0,Bastia II,https://media-4.api-sports.io/football/teams/22037.png,0.0,Not Started,0.0
