,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
1392,1135257,2023-11-26 00:00:00,Greece,494,Super League 2,https://media-4.api-sports.io/football/leagues/494.png,Kozani,https://media-4.api-sports.io/football/teams/15259.png,0.0,Almopos,https://media-4.api-sports.io/football/teams/12368.png,0.0,Match Cancelled,0.0
480,1135258,2023-11-25 13:00:00,Greece,494,Super League 2,https://media-4.api-sports.io/football/leagues/494.png,Iraklis 1908,https://media-4.api-sports.io/football/teams/17991.png,1.0,AEK Athens II,https://media-4.api-sports.io/football/teams/18016.png,0.0,Match Finished,90.0
481,1135399,2023-11-25 13:00:00,Greece,494,Super League 2,https://media-4.api-sports.io/football/leagues/494.png,Kallithea,https://media-4.api-sports.io/football/teams/2095.png,3.0,Tilikratis,https://media-4.api-sports.io/football/teams/5066.png,0.0,Match Finished,90.0
482,1135400,2023-11-25 13:00:00,Greece,494,Super League 2,https://media-4.api-sports.io/football/leagues/494.png,Ionikos,https://media-4.api-sports.io/football/teams/7513.png,2.0,Panathinaikos II,https://media-4.api-sports.io/football/teams/18019.png,0.0,Match Finished,90.0
