,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
463,1114098,2023-11-25 13:00:00,Rwanda,405,National Soccer League,https://media-4.api-sports.io/football/leagues/405.png,Bugesera,https://media-4.api-sports.io/football/teams/5312.png,0.0,Marines,https://media-4.api-sports.io/football/teams/5318.png,1.0,Match Finished,90.0
464,1114099,2023-11-25 13:00:00,Rwanda,405,National Soccer League,https://media-4.api-sports.io/football/leagues/405.png,Etincelles,https://media-4.api-sports.io/football/teams/5314.png,1.0,Rayon Sports,https://media-4.api-sports.io/football/teams/5323.png,1.0,Match Finished,90.0
465,1114100,2023-11-25 13:00:00,Rwanda,405,National Soccer League,https://media-4.api-sports.io/football/leagues/405.png,Amagaju,https://media-4.api-sports.io/football/teams/5311.png,1.0,Police,https://media-4.api-sports.io/football/teams/5322.png,2.0,Match Finished,90.0
466,1114101,2023-11-25 13:00:00,Rwanda,405,National Soccer League,https://media-4.api-sports.io/football/leagues/405.png,APR,https://media-4.api-sports.io/football/teams/5309.png,1.0,AS Kigali,https://media-4.api-sports.io/football/teams/5310.png,1.0,Match Finished,90.0
467,1114102,2023-11-25 13:00:00,Rwanda,405,National Soccer League,https://media-4.api-sports.io/football/leagues/405.png,Sunrise,https://media-4.api-sports.io/football/teams/5324.png,0.0,Kiyovu Sports,https://media-4.api-sports.io/football/teams/5317.png,0.0,Match Postponed,0.0
468,1114106,2023-11-25 13:00:00,Rwanda,405,National Soccer League,https://media-4.api-sports.io/football/leagues/405.png,Police,https://media-4.api-sports.io/football/teams/5322.png,0.0,Marines,https://media-4.api-sports.io/football/teams/5318.png,0.0,Match Postponed,0.0
469,1114107,2023-11-25 13:00:00,Rwanda,405,National Soccer League,https://media-4.api-sports.io/football/leagues/405.png,Etoile de l'Est,https://media-4.api-sports.io/football/teams/18056.png,0.0,Amagaju,https://media-4.api-sports.io/football/teams/5311.png,0.0,Match Postponed,0.0
470,1114108,2023-11-25 13:00:00,Rwanda,405,National Soccer League,https://media-4.api-sports.io/football/leagues/405.png,Musanze,https://media-4.api-sports.io/football/teams/5321.png,0.0,Gorilla,https://media-4.api-sports.io/football/teams/15560.png,0.0,Match Postponed,0.0
471,1114109,2023-11-25 13:00:00,Rwanda,405,National Soccer League,https://media-4.api-sports.io/football/leagues/405.png,Sunrise,https://media-4.api-sports.io/football/teams/5324.png,0.0,Gasogi United,https://media-4.api-sports.io/football/teams/7574.png,0.0,Match Postponed,0.0
1059,1114110,2023-11-25 16:00:00,Rwanda,405,National Soccer League,https://media-4.api-sports.io/football/leagues/405.png,Kiyovu Sports,https://media-4.api-sports.io/football/teams/5317.png,0.0,APR,https://media-4.api-sports.io/football/teams/5309.png,0.0,Match Postponed,0.0
