,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
575,1049613,2023-11-25 14:00:00,Czech-Republic,345,Czech Liga,https://media-4.api-sports.io/football/leagues/345.png,Hradec Králové,https://media-4.api-sports.io/football/teams/3723.png,1.0,Plzen,https://media-4.api-sports.io/football/teams/567.png,1.0,Match Finished,90.0
1095,1049614,2023-11-25 17:00:00,Czech-Republic,345,Czech Liga,https://media-4.api-sports.io/football/leagues/345.png,Slavia Praha,https://media-4.api-sports.io/football/teams/560.png,2.0,České Budějovice,https://media-4.api-sports.io/football/teams/3736.png,1.0,Match Finished,90.0
576,1049616,2023-11-25 14:00:00,Czech-Republic,345,Czech Liga,https://media-4.api-sports.io/football/leagues/345.png,Teplice,https://media-4.api-sports.io/football/teams/3720.png,1.0,Bohemians 1905,https://media-4.api-sports.io/football/teams/3714.png,1.0,Match Finished,90.0
577,1049617,2023-11-25 14:00:00,Czech-Republic,345,Czech Liga,https://media-4.api-sports.io/football/leagues/345.png,Karviná,https://media-4.api-sports.io/football/teams/3716.png,0.0,Sigma Olomouc,https://media-4.api-sports.io/football/teams/2250.png,2.0,Match Finished,90.0
578,1049618,2023-11-25 14:00:00,Czech-Republic,345,Czech Liga,https://media-4.api-sports.io/football/leagues/345.png,Slovan Liberec,https://media-4.api-sports.io/football/teams/782.png,2.0,Mlada Boleslav,https://media-4.api-sports.io/football/teams/640.png,1.0,Match Finished,90.0
