,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
1187,1035294,2023-11-25 17:30:00,England,39,Premier League,https://media-4.api-sports.io/football/leagues/39.png,Brentford,https://media-4.api-sports.io/football/teams/55.png,0.0,Arsenal,https://media-4.api-sports.io/football/teams/42.png,1.0,Match Finished,90.0
678,1035295,2023-11-25 15:00:00,England,39,Premier League,https://media-4.api-sports.io/football/leagues/39.png,Burnley,https://media-4.api-sports.io/football/teams/44.png,1.0,West Ham,https://media-4.api-sports.io/football/teams/48.png,2.0,Match Finished,90.0
679,1035298,2023-11-25 15:00:00,England,39,Premier League,https://media-4.api-sports.io/football/leagues/39.png,Luton,https://media-4.api-sports.io/football/teams/1359.png,2.0,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,1.0,Match Finished,90.0
285,1035299,2023-11-25 12:30:00,England,39,Premier League,https://media-4.api-sports.io/football/leagues/39.png,Manchester City,https://media-4.api-sports.io/football/teams/50.png,1.0,Liverpool,https://media-4.api-sports.io/football/teams/40.png,1.0,Match Finished,90.0
680,1035300,2023-11-25 15:00:00,England,39,Premier League,https://media-4.api-sports.io/football/leagues/39.png,Newcastle,https://media-4.api-sports.io/football/teams/34.png,4.0,Chelsea,https://media-4.api-sports.io/football/teams/49.png,1.0,Match Finished,90.0
681,1035301,2023-11-25 15:00:00,England,39,Premier League,https://media-4.api-sports.io/football/leagues/39.png,Nottingham Forest,https://media-4.api-sports.io/football/teams/65.png,2.0,Brighton,https://media-4.api-sports.io/football/teams/51.png,3.0,Match Finished,90.0
682,1035302,2023-11-25 15:00:00,England,39,Premier League,https://media-4.api-sports.io/football/leagues/39.png,Sheffield Utd,https://media-4.api-sports.io/football/teams/62.png,1.0,Bournemouth,https://media-4.api-sports.io/football/teams/35.png,3.0,Match Finished,90.0
