,Fixture ID,Date,Country,League ID,League Name,League Logo,Home Team Name,Home Team Logo,Home Team Score,Away Team Name,Away Team Logo,Away Team Score,Status,Minutes Played
710,1043572,2023-11-25 15:00:00,Scotland,730,Football League - Highland League,https://media-4.api-sports.io/football/leagues/730.png,Brechin,https://media-4.api-sports.io/football/teams/1390.png,0.0,Fraserburgh,https://media-4.api-sports.io/football/teams/6769.png,0.0,Not Started,0.0
711,1043573,2023-11-25 15:00:00,Scotland,730,Football League - Highland League,https://media-4.api-sports.io/football/leagues/730.png,Buckie Thistle,https://media-4.api-sports.io/football/teams/7432.png,0.0,Keith,https://media-4.api-sports.io/football/teams/7446.png,0.0,Match Postponed,0.0
712,1043574,2023-11-25 15:00:00,Scotland,730,Football League - Highland League,https://media-4.api-sports.io/football/leagues/730.png,Formartine United,https://media-4.api-sports.io/football/teams/6768.png,0.0,Nairn County,https://media-4.api-sports.io/football/teams/7448.png,0.0,Match Postponed,0.0
713,1043575,2023-11-25 15:00:00,Scotland,730,Football League - Highland League,https://media-4.api-sports.io/football/leagues/730.png,Forres Mechanics,https://media-4.api-sports.io/football/teams/7441.png,0.0,Rothes,https://media-4.api-sports.io/football/teams/7449.png,0.0,Not Started,0.0
714,1043576,2023-11-25 15:00:00,Scotland,730,Football League - Highland League,https://media-4.api-sports.io/football/leagues/730.png,Huntly,https://media-4.api-sports.io/football/teams/7521.png,0.0,Banks O' Dee,https://media-4.api-sports.io/football/teams/6729.png,0.0,Not Started,0.0
715,1043577,2023-11-25 15:00:00,Scotland,730,Football League - Highland League,https://media-4.api-sports.io/football/leagues/730.png,Inverurie Loco Works,https://media-4.api-sports.io/football/teams/7445.png,0.0,Deveronvale,https://media-4.api-sports.io/football/teams/7438.png,0.0,Not Started,0.0
716,1043578,2023-11-25 15:00:00,Scotland,730,Football League - Highland League,https://media-4.api-sports.io/football/leagues/730.png,Lossiemouth,https://media-4.api-sports.io/football/teams/7447.png,0.0,Clachnacuddin,https://media-4.api-sports.io/football/teams/7435.png,0.0,Not Started,0.0
568,1043579,2023-11-25 14:00:00,Scotland,730,Football League - Highland League,https://media-4.api-sports.io/football/leagues/730.png,Strathspey Thistle,https://media-4.api-sports.io/football/teams/7451.png,0.0,Turriff United,https://media-4.api-sports.io/football/teams/7452.png,0.0,Not Started,0.0
717,1043580,2023-11-25 15:00:00,Scotland,730,Football League - Highland League,https://media-4.api-sports.io/football/leagues/730.png,Wick Academy,https://media-4.api-sports.io/football/teams/7454.png,0.0,Brora Rangers,https://media-4.api-sports.io/football/teams/6760.png,0.0,Match Postponed,0.0
718,1043616,2023-11-25 15:00:00,Scotland,730,Football League - Highland League,https://media-4.api-sports.io/football/leagues/730.png,Wick Academy,https://media-4.api-sports.io/football/teams/7454.png,0.0,Nairn County,https://media-4.api-sports.io/football/teams/7448.png,0.0,Not Started,0.0
